time,  thrust_N,   thrust_norm,    p,  q,  r | x, y, z
1768819175.918983   31.394    0.785    2.234    -2.461    -0.906 | -0.103    -0.064    -0.019
1768819175.946125   11.072    0.277    3.000    -3.000    -1.000 | -0.112    -0.060    -0.022
1768819175.973918   38.444    0.961    0.327    -3.000    -1.000 | -0.112    -0.060    -0.022
1768819176.002088   26.703    0.668    1.300    -2.667    -1.000 | -0.125    -0.054    -0.027
1768819176.035225   33.200    0.830    -0.141    -2.690    -1.000 | -0.125    -0.054    -0.027
1768819176.064937   29.883    0.747    -1.220    -2.072    -1.000 | -0.142    -0.047    -0.032
1768819176.105784   2.260    0.057    -2.350    -2.543    -1.000 | -0.142    -0.047    -0.032
1768819176.135113   12.426    0.311    2.243    -0.058    -0.952 | -0.173    -0.033    -0.039
1768819176.174527   11.646    0.291    -0.979    -2.995    -1.000 | -0.173    -0.033    -0.039
1768819176.206581   14.655    0.366    1.627    -2.814    -1.000 | -0.199    -0.021    -0.043
1768819176.235367   15.285    0.382    1.203    -3.000    -1.000 | -0.199    -0.021    -0.043
1768819176.264446   34.254    0.856    1.936    -2.531    -0.849 | -0.233    -0.005    -0.043
1768819176.291766   27.662    0.692    1.559    -2.012    -0.824 | -0.233    -0.005    -0.043
1768819176.322235   40.000    1.000    0.140    -3.000    -0.971 | -0.284    0.023    -0.036
1768819176.350524   34.850    0.871    0.561    -1.495    -1.000 | -0.284    0.023    -0.036
1768819176.377885   2.712    0.068    0.788    -1.748    -0.850 | -0.332    0.048    -0.021
1768819176.402792   19.888    0.497    0.120    -0.087    -1.000 | -0.332    0.048    -0.021
1768819176.430994   36.035    0.901    0.093    2.790    -1.000 | -0.384    0.083    -0.014
1768819176.466608   9.543    0.239    -1.020    -2.950    -0.765 | -0.384    0.083    -0.014
1768819176.500970   40.000    1.000    -2.130    3.000    -0.871 | -0.423    0.107    -0.077
1768819176.532436   20.707    0.518    -1.582    -0.243    -0.858 | -0.423    0.107    -0.077
1768819176.560037   11.188    0.280    1.378    1.711    -0.411 | -0.483    0.139    -0.157
1768819176.585271   12.105    0.303    0.915    2.268    -0.516 | -0.483    0.139    -0.157
1768819176.615687   0.000    0.000    -2.420    2.042    -0.853 | -0.526    0.166    -0.199
1768819176.645829   0.000    0.000    1.801    2.863    -0.814 | -0.526    0.166    -0.199
1768819176.675347   14.236    0.356    -2.379    -1.866    -0.924 | -0.597    0.218    -0.235
1768819176.702021   4.635    0.116    -1.363    2.045    -1.000 | -0.597    0.218    -0.235
1768819176.730061   8.753    0.219    -1.733    -0.219    -0.991 | -0.674    0.283    -0.237
1768819176.761408   21.239    0.531    -3.000    -0.714    -0.887 | -0.674    0.283    -0.237
1768819176.794590   7.386    0.185    -1.610    1.050    -0.523 | -0.731    0.337    -0.217
1768819176.828020   13.295    0.332    0.508    0.383    -0.696 | -0.731    0.337    -0.217
1768819176.858207   40.000    1.000    -2.400    1.135    -0.167 | -0.810    0.416    -0.179
1768819176.884432   27.104    0.678    -1.117    -2.358    -0.546 | -0.810    0.416    -0.179
