time,  thrust_N,   thrust_norm,    p,  q,  r | x, y, z
23.932000   36.426    0.911    0.546    1.920    0.746 | -0.088    1.073    -0.895
23.960000   1.790    0.045    -1.573    3.000    -0.951 | -0.079    1.107    -0.912
23.988000   18.702    0.468    1.604    2.559    -0.828 | -0.069    1.131    -0.921
24.024000   25.735    0.643    3.000    0.993    -0.831 | -0.048    1.161    -0.926
24.048000   16.214    0.405    -3.000    -2.031    -0.210 | -0.022    1.189    -0.921
24.076000   33.427    0.836    2.377    -1.195    0.113 | -0.007    1.202    -0.916
24.100000   0.000    0.000    1.327    0.303    -0.605 | 0.027    1.225    -0.898
24.128000   39.758    0.994    3.000    -1.860    -0.329 | 0.027    1.225    -0.898
24.160000   16.039    0.401    3.000    3.000    -0.908 | 0.107    1.254    -0.846
24.184000   26.105    0.653    2.978    -1.639    -0.969 | 0.148    1.262    -0.815
24.216000   0.000    0.000    2.954    -0.449    -0.975 | 0.205    1.269    -0.765
24.252000   20.098    0.502    1.148    -0.221    0.543 | 0.285    1.272    -0.691
24.276000   40.000    1.000    3.000    -3.000    -0.995 | 0.320    1.271    -0.658
24.296000   12.247    0.306    2.400    0.031    -0.007 | 0.394    1.263    -0.584
24.324000   19.267    0.482    3.000    -1.549    -1.000 | 0.394    1.263    -0.584
24.348000   35.634    0.891    3.000    -0.343    -0.656 | 0.513    1.243    -0.458
24.372000   40.000    1.000    2.712    -1.709    -1.000 | 0.577    1.228    -0.388
24.396000   32.320    0.808    3.000    -2.020    0.039 | 0.621    1.215    -0.339
24.420000   10.588    0.265    3.000    -3.000    -0.296 | 0.712    1.185    -0.235
24.448000   37.180    0.929    3.000    0.443    -0.902 | 0.712    1.185    -0.235
24.476000   7.260    0.182    3.000    1.919    -0.998 | 0.884    1.109    -0.040
24.496000   11.651    0.291    3.000    -1.587    -0.108 | 0.961    1.068    0.037
24.516000   28.019    0.700    1.735    -1.931    -0.979 | 0.985    1.064    0.020
24.544000   15.215    0.380    2.437    2.592    -0.905 | 1.076    1.052    -0.062
24.572000   9.254    0.231    2.873    -0.574    -0.812 | 1.076    1.052    -0.062
24.600000   37.370    0.934    3.000    -0.703    -0.368 | 1.235    1.016    -0.198
24.628000   23.861    0.597    3.000    -1.030    -0.168 | 1.304    0.996    -0.252
24.656000   31.378    0.784    3.000    2.532    -0.213 | 1.396    0.966    -0.318
24.684000   14.544    0.364    1.761    -2.666    -0.386 | 1.485    0.932    -0.377
24.712000   7.485    0.187    1.259    -0.902    -0.361 | 1.551    0.904    -0.417
24.740000   29.384    0.735    1.635    -0.519    -0.692 | 1.636    0.864    -0.466
24.760000   0.813    0.020    2.413    -2.162    -0.518 | 1.699    0.832    -0.499
24.792000   35.000    0.875    2.954    0.926    -0.247 | 1.781    0.788    -0.536
24.820000   7.929    0.198    3.000    2.116    0.034 | 1.842    0.753    -0.559
24.852000   5.770    0.144    2.097    2.733    -0.795 | 1.921    0.704    -0.583
24.876000   13.737    0.343    2.771    0.111    -0.836 | 1.960    0.679    -0.592
24.896000   34.204    0.855    2.198    -1.756    0.904 | 2.038    0.628    -0.605
24.924000   0.000    0.000    2.363    2.346    -0.172 | 2.077    0.601    -0.608
24.952000   13.302    0.333    2.588    3.000    1.000 | 2.153    0.549    -0.609
24.976000   35.825    0.896    2.616    1.216    -0.105 | 2.191    0.522    -0.606
24.992000   31.238    0.781    2.257    -1.768    -0.089 | 2.249    0.480    -0.599
25.016000   32.796    0.820    1.079    1.872    0.037 | 2.307    0.438    -0.587
25.040000   8.070    0.202    2.162    0.809    -0.133 | 2.307    0.438    -0.587
25.068000   0.000    0.000    1.747    0.903    0.965 | 2.444    0.333    -0.543
25.096000   14.201    0.355    3.000    1.287    0.181 | 2.505    0.283    -0.518
25.120000   13.838    0.346    0.813    0.580    -0.028 | 2.566    0.231    -0.489
25.144000   8.771    0.219    3.000    -1.707    0.147 | 2.627    0.179    -0.455
25.168000   28.849    0.721    0.285    -1.769    0.663 | 2.688    0.126    -0.416
25.192000   31.884    0.797    2.708    1.582    -0.461 | 2.749    0.073    -0.374
25.220000   14.898    0.372    1.569    2.182    0.989 | 2.831    -0.001    -0.310
25.252000   16.281    0.407    2.313    3.000    -0.123 | 2.831    -0.001    -0.310
