time   comp_time_s     min_cost|   thrust_N   p_cmd   q_cmd   r_cmd|  x_enu   y_enu   z_enu| ref_x   ref_y   ref_z|   vx_enu  vy_enu  vz_enu|    ref_vx  ref_vy ref_vz
31.3280    0.0111     71444952.0000|  15.874   3.000   0.580     -1.000|  29.201    29.315    -0.421|     -1.381    2.762    2.500|  1.081    0.163    0.060|   -0.235    0.470    0.000
31.3600    0.0119     71134480.0000|  19.942   3.000   -1.795     -0.750|  29.234    29.337    -0.419|     -1.389    2.777    2.500|  1.225    0.568    0.061|   -0.236    0.471    0.000
31.3960    0.0104     72069448.0000|  17.615   3.000   0.274     -0.840|  29.290    29.370    -0.416|     -1.397    2.794    2.500|  1.503    -0.090    0.058|   -0.236    0.473    0.000
31.4320    0.0121     72243080.0000|  21.763   3.000   -0.035     -1.000|  29.318    29.375    -0.414|     -1.406    2.811    2.500|  1.437    -0.461    0.056|   -0.237    0.474    0.000
31.4680    0.0106     69872808.0000|  15.621   2.987   -1.876     -0.411|  29.370    29.372    -0.411|     -1.414    2.828    2.500|  1.613    -0.755    0.055|   -0.238    0.476    0.000
31.5000    0.0105     69159304.0000|  12.896   3.000   -1.823     -0.051|  29.419    29.359    -0.409|     -1.422    2.844    2.500|  1.854    -0.828    0.053|   -0.238    0.477    0.000
31.5360    0.0098     69142088.0000|  20.038   3.000   -1.022     -0.546|  29.469    29.341    -0.407|     -1.430    2.861    2.500|  1.734    -0.850    0.041|   -0.239    0.478    0.000
31.5720    0.0121     69142080.0000|  13.928   3.000   -0.823     -0.268|  29.529    29.301    -0.405|     -1.439    2.878    2.500|  1.366    -1.149    0.059|   -0.240    0.480    0.000
31.6080    0.0111     69059984.0000|  11.872   3.000   -0.224     -0.683|  29.582    29.245    -0.403|     -1.448    2.895    2.500|  1.408    -1.683    0.056|   -0.241    0.481    0.000
31.6400    0.0102     67464152.0000|  14.438   2.932   -3.000     -0.419|  29.609    29.202    -0.401|     -1.455    2.911    2.500|  1.186    -1.932    0.048|   -0.241    0.483    0.000
31.6760    0.0114     68957496.0000|  17.010   3.000   -2.216     -0.640|  29.653    29.125    -0.399|     -1.464    2.928    2.500|  1.479    -1.875    0.055|   -0.242    0.484    0.000
31.7120    0.0093     68848608.0000|  16.999   2.996   -2.878     -1.000|  29.713    29.052    -0.397|     -1.473    2.946    2.500|  1.974    -1.507    0.051|   -0.243    0.485    0.000
31.7480    0.0118     69063648.0000|  13.557   3.000   -1.795     -0.316|  29.765    29.003    -0.396|     -1.482    2.963    2.500|  1.859    -1.147    0.048|   -0.243    0.487    0.000
31.7800    0.0126     67904728.0000|  15.738   3.000   -1.367     -0.869|  29.817    28.958    -0.394|     -1.489    2.979    2.500|  2.005    -1.198    0.044|   -0.244    0.488    0.000
31.8160    0.0210     67570304.0000|  17.181   2.862   -1.590     -0.890|  29.877    28.917    -0.393|     -1.498    2.996    2.500|  1.942    -1.374    0.051|   -0.245    0.490    0.000
31.8520    0.0124     67533480.0000|  20.981   2.969   -2.951     -1.000|  29.990    28.830    -0.390|     -1.507    3.014    2.500|  2.111    -1.591    0.036|   -0.246    0.491    0.000
31.8880    0.0110     67359472.0000|  16.109   3.000   -2.839     -1.000|  30.037    28.797    -0.389|     -1.516    3.032    2.500|  1.960    -1.290    0.042|   -0.246    0.492    0.000
31.9200    0.0114     68116160.0000|  22.267   3.000   -1.408     0.614|  30.093    28.751    -0.388|     -1.524    3.047    2.500|  1.950    -1.541    0.050|   -0.247    0.494    0.000
31.9560    0.0123     68782424.0000|  15.533   3.000   -2.625     -1.000|  30.163    28.700    -0.386|     -1.533    3.065    2.500|  1.746    -1.383    0.052|   -0.248    0.495    0.000
31.9920    0.0110     68869400.0000|  15.295   3.000   -1.951     0.099|  30.222    28.646    -0.385|     -1.542    3.083    2.500|  1.745    -1.101    0.054|   -0.248    0.497    0.000
32.0280    0.0101     67138216.0000|  16.743   2.977   -2.987     -0.554|  30.271    28.616    -0.381|     -1.551    3.101    2.500|  1.524    -0.949    0.055|   -0.249    0.498    0.000
32.0600    0.0090     67477656.0000|  16.388   2.977   -1.484     0.148|  30.303    28.599    -0.379|     -1.559    3.117    2.500|  1.474    -0.397    0.079|   -0.250    0.499    0.000
32.0960    0.0112     67816928.0000|  15.390   3.000   -1.920     -0.829|  30.338    28.601    -0.377|     -1.568    3.135    2.500|  1.509    0.123    0.086|   -0.250    0.501    0.000
32.1320    0.0110     68836056.0000|  14.875   2.918   -3.000     -0.497|  30.374    28.627    -0.374|     -1.577    3.153    2.500|  1.298    0.369    0.096|   -0.251    0.502    0.000
32.1680    0.0082     70881680.0000|  14.099   3.000   -1.711     -0.936|  30.405    28.648    -0.371|     -1.586    3.171    2.500|  1.470    0.159    0.101|   -0.252    0.504    0.000
32.2000    0.0117     69814544.0000|  17.780   2.865   -3.000     -0.670|  30.422    28.657    -0.370|     -1.594    3.187    2.500|  1.561    0.122    0.096|   -0.252    0.505    0.000
32.2360    0.0149     73493208.0000|  20.130   2.991   -3.000     -0.567|  30.474    28.685    -0.365|     -1.603    3.206    2.500|  1.487    -0.073    0.105|   -0.253    0.506    0.000
32.2720    0.0099     78594616.0000|  22.326   2.773   -1.464     -0.414|  30.525    28.703    -0.362|     -1.612    3.224    2.500|  1.849    0.011    0.114|   -0.254    0.508    0.000
32.3080    0.0111     82278696.0000|  22.443   1.748   -3.000     -0.976|  30.593    28.720    -0.358|     -1.621    3.242    2.500|  2.356    -0.012    0.101|   -0.255    0.509    0.000
32.3400    0.0123     90067696.0000|  18.247   1.455   -3.000     -0.418|  30.662    28.730    -0.356|     -1.629    3.258    2.500|  2.519    -0.037    0.100|   -0.255    0.511    0.000
32.3760    0.0106     99083928.0000|  19.607   1.655   -2.843     -0.582|  30.729    28.731    -0.353|     -1.638    3.277    2.500|  2.175    -0.518    0.104|   -0.256    0.512    0.000
32.4120    0.0111     111771696.0000|  19.992   1.990   -2.715     -0.757|  30.788    28.721    -0.351|     -1.648    3.295    2.500|  1.937    -0.658    0.113|   -0.257    0.513    0.000
32.4480    0.0098     119526480.0000|  20.305   -0.053   -2.887     -0.497|  30.839    28.707    -0.348|     -1.657    3.314    2.500|  1.643    -0.855    0.110|   -0.257    0.515    0.000
32.4800    0.0153     132317312.0000|  22.585   1.206   -3.000     -0.090|  30.883    28.685    -0.346|     -1.665    3.330    2.500|  1.685    -0.839    0.121|   -0.258    0.516    0.000
32.5160    0.0107     148301296.0000|  19.807   0.411   -2.331     -0.614|  30.938    28.645    -0.342|     -1.674    3.349    2.500|  1.387    -1.044    0.102|   -0.259    0.518    0.000
32.5520    0.0111     151993872.0000|  16.530   0.197   -3.000     -0.028|  30.969    28.607    -0.340|     -1.684    3.368    2.500|  1.336    -1.305    0.113|   -0.260    0.519    0.000
32.5880    0.0094     165144992.0000|  19.430   0.103   -2.945     -0.394|  31.014    28.560    -0.337|     -1.693    3.386    2.500|  1.740    -0.936    0.112|   -0.260    0.520    0.000
32.6200    0.0102     164591936.0000|  21.215   0.821   -3.000     -1.000|  31.046    28.534    -0.335|     -1.701    3.403    2.500|  1.817    -1.010    0.111|   -0.261    0.522    0.000
32.6560    0.0097     157281824.0000|  16.831   0.046   -2.829     -0.299|  31.088    28.495    -0.333|     -1.711    3.422    2.500|  1.785    -1.219    0.112|   -0.262    0.523    0.000
32.6920    0.0108     141155936.0000|  18.400   1.854   -2.621     -0.867|  31.168    28.439    -0.330|     -1.720    3.441    2.500|  2.187    -0.895    0.097|   -0.262    0.525    0.000
32.7280    0.0095     122133312.0000|  18.652   2.524   -2.011     -0.225|  31.218    28.416    -0.328|     -1.730    3.460    2.500|  2.494    -0.808    0.113|   -0.263    0.526    0.000
32.7600    0.0095     113386448.0000|  18.909   1.923   -2.069     -0.133|  31.307    28.384    -0.326|     -1.738    3.476    2.500|  2.361    -0.839    0.100|   -0.264    0.527    0.000
32.7960    0.0133     110929272.0000|  14.645   2.911   1.621     -0.490|  31.383    28.358    -0.325|     -1.748    3.495    2.500|  2.602    -0.733    0.119|   -0.264    0.529    0.000
32.8320    0.0140     116409552.0000|  20.405   2.973   -1.571     -0.688|  31.477    28.328    -0.323|     -1.757    3.514    2.500|  2.333    -0.956    0.105|   -0.265    0.530    0.000
32.8680    0.0099     111378768.0000|  16.308   3.000   -0.486     -0.542|  31.576    28.291    -0.321|     -1.767    3.534    2.500|  2.626    -1.002    0.101|   -0.266    0.532    0.000
32.9000    0.0241     108088624.0000|  17.018   3.000   0.593     -0.086|  31.658    28.261    -0.319|     -1.775    3.551    2.500|  2.392    -1.091    0.103|   -0.266    0.533    0.000
32.9360    0.0127     109495040.0000|  14.591   3.000   -0.603     -0.217|  31.712    28.233    -0.318|     -1.785    3.570    2.500|  2.335    -1.274    0.104|   -0.267    0.534    0.000
32.9720    0.0113     108186840.0000|  12.727   2.797   2.204     0.403|  31.807    28.191    -0.316|     -1.795    3.589    2.500|  2.286    -1.007    0.104|   -0.268    0.536    0.000
33.0080    0.0116     106533032.0000|  16.547   3.000   0.817     -0.123|  31.885    28.154    -0.315|     -1.804    3.608    2.500|  1.895    -0.840    0.104|   -0.269    0.537    0.000
33.0400    0.0152     103504952.0000|  18.246   2.906   2.167     -0.374|  31.931    28.132    -0.314|     -1.813    3.626    2.500|  2.173    -1.008    0.103|   -0.269    0.539    0.000
33.0760    0.0111     103300120.0000|  20.841   3.000   1.737     -0.159|  31.996    28.105    -0.312|     -1.823    3.645    2.500|  2.219    -0.652    0.100|   -0.270    0.540    0.000
33.1120    0.0126     100763176.0000|  17.891   2.829   -0.046     -0.617|  32.077    28.091    -0.310|     -1.832    3.664    2.500|  2.420    -0.285    0.100|   -0.271    0.541    0.000
33.1480    0.0111     103083056.0000|  15.266   3.000   -1.928     0.477|  32.153    28.087    -0.309|     -1.842    3.684    2.500|  2.765    -0.316    0.095|   -0.271    0.543    0.000
33.1800    0.0126     106320984.0000|  21.505   3.000   -1.699     -0.629|  32.256    28.081    -0.307|     -1.851    3.701    2.500|  2.639    -0.084    0.089|   -0.272    0.544    0.000
33.2160    0.0105     110005728.0000|  15.811   3.000   -1.266     -0.104|  32.329    28.088    -0.306|     -1.860    3.721    2.500|  2.217    0.278    0.095|   -0.273    0.546    0.000
33.2520    0.0104     113029584.0000|  12.981   2.804   -1.921     -0.827|  32.405    28.116    -0.304|     -1.870    3.741    2.500|  1.896    0.638    0.093|   -0.274    0.547    0.000
33.2880    0.0131     110906592.0000|  17.761   3.000   -2.210     -0.536|  32.465    28.142    -0.303|     -1.880    3.760    2.500|  2.187    0.510    0.093|   -0.274    0.548    0.000
33.3200    0.0113     108782432.0000|  21.112   2.864   -0.012     -0.326|  32.543    28.176    -0.301|     -1.889    3.778    2.500|  2.301    0.655    0.052|   -0.275    0.550    0.000
33.3560    0.0102     105835000.0000|  17.040   2.981   0.648     -0.385|  32.598    28.209    -0.300|     -1.899    3.798    2.500|  1.822    0.708    0.091|   -0.276    0.551    0.000
33.3920    0.0111     106575008.0000|  18.435   3.000   2.563     -0.022|  32.641    28.244    -0.299|     -1.909    3.818    2.500|  1.435    0.662    0.093|   -0.276    0.553    0.000
33.4280    0.0085     108571936.0000|  18.404   2.676   0.230     -0.163|  32.672    28.269    -0.297|     -1.919    3.838    2.500|  1.002    0.425    0.094|   -0.277    0.554    0.000
33.4600    0.0100     105230256.0000|  19.099   3.000   -2.117     0.324|  32.690    28.294    -0.295|     -1.928    3.855    2.500|  0.584    0.276    0.094|   -0.278    0.555    0.000
33.4960    0.0101     101440976.0000|  19.462   3.000   0.382     -0.121|  32.688    28.313    -0.293|     -1.938    3.875    2.500|  0.154    0.532    0.095|   -0.278    0.557    0.000
33.5320    0.0172     97637024.0000|  16.234   2.883   0.781     -0.160|  32.676    28.338    -0.291|     -1.948    3.895    2.500|  0.417    0.451    0.082|   -0.279    0.558    0.000
33.5680    0.0126     92330928.0000|  21.658   3.000   -0.129     0.071|  32.663    28.356    -0.289|     -1.958    3.916    2.500|  0.148    0.504    0.093|   -0.280    0.560    0.000
33.6000    0.0104     87203112.0000|  17.743   3.000   -0.444     0.403|  32.653    28.364    -0.287|     -1.967    3.933    2.500|  0.411    0.109    0.095|   -0.280    0.561    0.000
33.6360    0.0096     81961352.0000|  20.460   3.000   -0.883     -0.191|  32.640    28.375    -0.285|     -1.977    3.954    2.500|  0.189    0.331    0.092|   -0.281    0.562    0.000
33.6720    0.0217     79165152.0000|  17.839   2.957   -0.277     -0.529|  32.629    28.376    -0.283|     -1.987    3.974    2.500|  0.292    -0.132    0.094|   -0.282    0.564    0.000
33.7080    0.0143     77908744.0000|  18.830   2.975   -0.586     0.195|  32.618    28.361    -0.280|     -1.997    3.994    2.500|  0.417    -0.449    0.093|   -0.283    0.565    0.000
33.7400    0.0122     79094328.0000|  16.796   3.000   -0.455     -0.555|  32.615    28.342    -0.278|     -2.006    4.012    2.500|  0.348    -0.769    0.098|   -0.283    0.567    0.000
33.7760    0.0165     86533240.0000|  20.028   3.000   -1.829     -0.084|  32.613    28.285    -0.274|     -2.016    4.033    2.500|  0.560    -0.800    0.097|   -0.284    0.568    0.000
33.8120    0.0129     93346768.0000|  17.889   3.000   -0.113     -0.414|  32.624    28.252    -0.272|     -2.027    4.053    2.500|  0.904    -0.636    0.095|   -0.285    0.569    0.000
33.8480    0.0083     105773920.0000|  22.813   3.000   0.016     0.041|  32.647    28.213    -0.269|     -2.037    4.074    2.500|  0.950    -0.251    0.090|   -0.285    0.571    0.000
33.8800    0.0107     123611584.0000|  15.877   3.000   -0.060     0.078|  32.666    28.190    -0.267|     -2.046    4.092    2.500|  0.659    -0.335    0.095|   -0.286    0.572    0.000
33.9160    0.0112     133933088.0000|  19.228   2.938   0.467     0.105|  32.682    28.167    -0.264|     -2.056    4.113    2.500|  0.824    -0.253    0.091|   -0.287    0.574    0.000
33.9520    0.0134     141026480.0000|  20.355   2.643   -1.805     -0.111|  32.709    28.147    -0.262|     -2.067    4.133    2.500|  0.797    -0.138    0.084|   -0.288    0.575    0.000
33.9880    0.0116     133828304.0000|  24.479   3.000   -0.127     -0.089|  32.735    28.134    -0.260|     -2.077    4.154    2.500|  0.872    -0.032    0.088|   -0.288    0.576    0.000
34.0200    0.0122     124433728.0000|  22.536   2.990   -1.189     -0.452|  32.763    28.130    -0.258|     -2.086    4.173    2.500|  0.793    0.188    0.092|   -0.289    0.578    0.000
34.0560    0.0101     116332304.0000|  20.625   2.811   -1.125     -0.466|  32.779    28.126    -0.257|     -2.097    4.193    2.500|  0.384    0.161    0.088|   -0.290    0.579    0.000
34.0920    0.0126     112084744.0000|  17.238   3.000   1.796     -0.048|  32.782    28.126    -0.255|     -2.107    4.214    2.500|  0.074    0.133    0.065|   -0.290    0.581    0.000
34.1280    0.0120     96741584.0000|  19.406   3.000   0.977     -0.172|  32.764    28.130    -0.253|     -2.118    4.235    2.500|  -0.677    0.256    0.088|   -0.291    0.582    0.000
34.1600    0.0105     87023384.0000|  17.193   3.000   -1.286     0.720|  32.740    28.132    -0.252|     -2.127    4.254    2.500|  -0.900    0.161    0.088|   -0.292    0.583    0.000
34.1960    0.0101     76562416.0000|  18.879   3.000   -1.833     -0.954|  32.702    28.142    -0.250|     -2.137    4.275    2.500|  -0.462    0.619    0.093|   -0.292    0.585    0.000
34.2320    0.0106     71194624.0000|  16.833   3.000   -2.120     -0.371|  32.675    28.162    -0.248|     -2.148    4.296    2.500|  -0.297    0.590    0.088|   -0.293    0.586    0.000
34.2680    0.0104     68203632.0000|  18.044   2.728   -2.205     0.725|  32.654    28.176    -0.247|     -2.159    4.317    2.500|  -0.165    0.368    0.089|   -0.294    0.588    0.000
34.3000    0.0102     66270228.0000|  19.512   3.000   -3.000     0.465|  32.647    28.184    -0.246|     -2.168    4.336    2.500|  0.011    0.531    0.048|   -0.294    0.589    0.000
34.3360    0.0095     64740696.0000|  25.039   2.827   -2.844     -0.103|  32.633    28.200    -0.244|     -2.179    4.357    2.500|  -0.519    0.572    0.082|   -0.295    0.590    0.000
34.3720    0.0127     64061348.0000|  19.505   3.000   -3.000     -0.079|  32.602    28.224    -0.243|     -2.189    4.378    2.500|  -0.406    0.639    0.111|   -0.296    0.592    0.000
34.4080    0.0094     64192768.0000|  19.857   3.000   -1.999     -0.113|  32.579    28.252    -0.241|     -2.200    4.400    2.500|  -0.617    0.741    0.080|   -0.297    0.593    0.000
34.4400    0.0141     63399576.0000|  18.914   3.000   -2.990     0.271|  32.550    28.274    -0.239|     -2.209    4.419    2.500|  -0.870    0.677    0.074|   -0.297    0.595    0.000
34.4760    0.0090     64859348.0000|  21.170   2.934   -3.000     -0.284|  32.512    28.293    -0.238|     -2.220    4.440    2.500|  -1.190    0.500    0.074|   -0.298    0.596    0.000
34.5120    0.0124     66268192.0000|  19.198   2.972   -3.000     0.291|  32.469    28.297    -0.237|     -2.231    4.462    2.500|  -1.197    -0.038    0.077|   -0.299    0.597    0.000
34.5480    0.0102     65151460.0000|  19.313   3.000   -3.000     0.041|  32.417    28.294    -0.236|     -2.242    4.483    2.500|  -1.637    -0.073    0.074|   -0.299    0.599    0.000
34.5800    0.0151     67375312.0000|  20.922   3.000   -3.000     -0.199|  32.354    28.285    -0.235|     -2.251    4.502    2.500|  -1.782    -0.228    0.078|   -0.300    0.600    0.000
34.6160    0.0177     72374984.0000|  23.668   2.548   -2.932     -0.557|  32.271    28.267    -0.233|     -2.262    4.524    2.500|  -1.802    -0.263    0.071|   -0.301    0.602    0.000
34.6520    0.0152     70656312.0000|  23.298   2.690   -2.897     -0.914|  32.184    28.245    -0.232|     -2.273    4.546    2.500|  -1.846    -0.195    0.057|   -0.302    0.603    0.000
34.6880    0.0139     71998024.0000|  19.348   2.774   -3.000     -0.320|  32.093    28.216    -0.231|     -2.284    4.567    2.500|  -1.699    -0.211    0.110|   -0.302    0.604    0.000
34.7200    0.0097     71627792.0000|  20.641   2.804   -2.887     -0.021|  32.046    28.202    -0.230|     -2.293    4.587    2.500|  -1.352    -0.287    0.078|   -0.303    0.606    0.000
34.7560    0.0113     74780296.0000|  22.134   3.000   -3.000     -0.091|  31.993    28.176    -0.229|     -2.304    4.609    2.500|  -1.203    -0.634    0.056|   -0.304    0.607    0.000
34.7920    0.0127     80039672.0000|  17.373   1.847   -2.689     -0.157|  31.924    28.131    -0.229|     -2.315    4.631    2.500|  -1.470    -0.715    0.069|   -0.304    0.609    0.000
34.8280    0.0159     83561264.0000|  20.220   1.964   -3.000     -0.447|  31.863    28.079    -0.228|     -2.326    4.652    2.500|  -1.428    -1.153    0.067|   -0.305    0.610    0.000
34.8600    0.0111     87537176.0000|  23.425   2.299   -2.990     -0.020|  31.827    28.042    -0.227|     -2.336    4.672    2.500|  -1.372    -1.306    0.067|   -0.306    0.611    0.000
34.8960    0.0094     94353312.0000|  21.944   1.985   -2.922     0.067|  31.777    27.985    -0.227|     -2.347    4.694    2.500|  -1.669    -1.389    0.065|   -0.306    0.613    0.000
34.9320    0.0096     97935040.0000|  18.853   2.084   -2.883     0.207|  31.684    27.888    -0.226|     -2.358    4.716    2.500|  -2.021    -1.605    0.068|   -0.307    0.614    0.000
34.9680    0.0107     105009280.0000|  17.448   2.828   -0.930     0.274|  31.621    27.817    -0.225|     -2.369    4.738    2.500|  -1.794    -1.777    0.062|   -0.308    0.616    0.000
35.0000    0.0109     112901888.0000|  20.819   2.210   -3.000     -0.807|  31.577    27.759    -0.224|     -2.379    4.758    2.500|  -1.644    -2.043    0.041|   -0.308    0.617    0.000
35.0360    0.0118     122654408.0000|  19.928   3.000   -2.628     -0.050|  31.519    27.683    -0.225|     -2.390    4.780    2.500|  -1.572    -1.631    0.007|   -0.309    0.618    0.000
35.0720    0.0099     128872672.0000|  22.480   0.280   -2.092     0.273|  31.446    27.594    -0.226|     -2.401    4.803    2.500|  -1.179    -1.028    0.027|   -0.310    0.620    0.000
35.1080    0.0097     127441896.0000|  25.374   2.989   -2.051     -0.902|  31.418    27.560    -0.226|     -2.412    4.825    2.500|  -1.006    -0.775    0.026|   -0.311    0.621    0.000
35.1400    0.0103     123085312.0000|  26.000   1.917   -2.083     -0.193|  31.382    27.523    -0.227|     -2.422    4.845    2.500|  -0.806    -0.414    0.023|   -0.311    0.623    0.000
35.1760    0.0107     117385040.0000|  22.634   2.215   -2.113     -0.780|  31.361    27.506    -0.228|     -2.434    4.867    2.500|  -0.812    -0.409    0.028|   -0.312    0.624    0.000
35.2120    0.0098     118326224.0000|  23.457   1.158   -2.522     -0.602|  31.329    27.483    -0.229|     -2.445    4.890    2.500|  -1.000    -0.665    0.024|   -0.313    0.625    0.000
35.2480    0.0117     115730736.0000|  24.333   2.920   -0.532     -0.167|  31.297    27.461    -0.229|     -2.456    4.912    2.500|  -0.847    -0.658    0.036|   -0.313    0.627    0.000
35.2800    0.0122     118758584.0000|  25.731   1.591   -1.707     -0.554|  31.276    27.445    -0.230|     -2.466    4.932    2.500|  -0.823    -0.755    0.023|   -0.314    0.628    0.000
35.3160    0.0122     115711552.0000|  25.507   0.980   -2.862     -0.732|  31.250    27.422    -0.230|     -2.477    4.955    2.500|  -0.908    -0.932    0.021|   -0.315    0.630    0.000
35.3520    0.0118     118282184.0000|  24.716   2.299   0.016     -0.373|  31.222    27.395    -0.231|     -2.489    4.978    2.500|  -1.072    -0.746    0.029|   -0.316    0.631    0.000
35.3880    0.0087     120194512.0000|  25.423   0.617   -2.788     -0.337|  31.189    27.368    -0.231|     -2.500    5.000    2.500|  -1.052    -0.988    0.009|   -0.316    0.632    0.000
35.4200    0.0199     116493360.0000|  22.850   -0.180   -2.970     -0.391|  31.154    27.340    -0.231|     -2.510    5.021    2.500|  -0.741    -0.468    0.023|   -0.317    0.634    0.000
35.4560    0.0104     116888912.0000|  23.992   0.485   -2.865     -0.291|  31.138    27.329    -0.232|     -2.522    5.043    2.500|  -0.388    -0.396    -0.015|   -0.318    0.635    0.000
35.4920    0.0103     115437816.0000|  24.093   1.513   -3.000     0.048|  31.125    27.318    -0.232|     -2.533    5.066    2.500|  -0.148    -0.325    -0.026|   -0.318    0.637    0.000
35.5280    0.0125     114085416.0000|  21.081   0.265   -3.000     -0.241|  31.121    27.322    -0.232|     -2.545    5.089    2.500|  -0.335    -0.010    0.012|   -0.319    0.638    0.000
35.5600    0.0130     108877920.0000|  22.226   0.846   -2.927     -0.128|  31.124    27.326    -0.233|     -2.555    5.110    2.500|  0.065    -0.115    0.024|   -0.320    0.639    0.000
35.5960    0.0171     104593536.0000|  21.443   0.794   -2.259     -0.380|  31.129    27.336    -0.233|     -2.566    5.133    2.500|  -0.140    0.239    0.025|   -0.320    0.641    0.000
35.6320    0.0147     100744680.0000|  25.087   0.027   -2.967     0.256|  31.126    27.361    -0.233|     -2.578    5.156    2.500|  -0.240    0.590    0.006|   -0.321    0.642    0.000
35.6680    0.0132     96146808.0000|  17.273   -0.809   -3.000     0.120|  31.125    27.384    -0.234|     -2.590    5.179    2.500|  -0.419    0.160    0.025|   -0.322    0.644    0.000
35.7000    0.0186     91667384.0000|  22.804   -0.610   -3.000     -0.328|  31.104    27.406    -0.234|     -2.600    5.200    2.500|  -0.934    0.211    0.025|   -0.322    0.645    0.000
35.7360    0.0111     91646120.0000|  15.158   -1.046   -3.000     -0.594|  31.078    27.428    -0.234|     -2.611    5.223    2.500|  -1.064    0.336    0.024|   -0.323    0.646    0.000
35.7720    0.0119     90707488.0000|  23.145   -1.074   -2.075     -0.366|  31.029    27.453    -0.235|     -2.623    5.246    2.500|  -1.179    0.038    0.024|   -0.324    0.648    0.000
35.8080    0.0126     87015600.0000|  18.356   -0.550   -2.900     0.729|  30.984    27.456    -0.236|     -2.635    5.270    2.500|  -1.131    -0.426    -0.044|   -0.325    0.649    0.000
35.8400    0.0124     88157928.0000|  22.315   -0.317   -3.000     -0.200|  30.938    27.458    -0.236|     -2.645    5.290    2.500|  -1.255    -0.086    0.042|   -0.325    0.651    0.000
35.8760    0.0126     89472008.0000|  23.606   0.091   -3.000     -0.907|  30.898    27.462    -0.237|     -2.657    5.314    2.500|  -1.030    -0.072    0.001|   -0.326    0.652    0.000
35.9120    0.0097     86860928.0000|  25.395   1.285   -2.267     -0.659|  30.858    27.460    -0.237|     -2.669    5.337    2.500|  -1.201    -0.451    0.021|   -0.327    0.653    0.000
35.9480    0.0097     89457384.0000|  22.984   1.173   -3.000     0.451|  30.813    27.443    -0.238|     -2.680    5.361    2.500|  -1.269    -0.911    0.018|   -0.327    0.655    0.000
35.9800    0.0111     94564952.0000|  24.264   0.348   -2.999     0.181|  30.756    27.406    -0.239|     -2.691    5.382    2.500|  -1.331    -1.235    0.016|   -0.328    0.656    0.000
36.0160    0.0094     101145224.0000|  23.059   1.644   -3.000     -0.710|  30.710    27.366    -0.239|     -2.703    5.405    2.500|  -1.312    -1.394    0.015|   -0.329    0.658    0.000
36.0520    0.0162     107975344.0000|  22.250   0.698   -2.868     -0.683|  30.667    27.316    -0.239|     -2.715    5.429    2.500|  -1.090    -1.542    -0.014|   -0.330    0.659    0.000
36.0880    0.0122     119454152.0000|  22.624   0.656   -3.000     -0.448|  30.634    27.244    -0.240|     -2.726    5.453    2.500|  -0.409    -1.442    0.020|   -0.330    0.660    0.000
36.1200    0.0125     132876016.0000|  25.219   1.672   -2.974     -0.190|  30.623    27.207    -0.240|     -2.737    5.474    2.500|  -0.405    -1.175    0.017|   -0.331    0.662    0.000
36.1560    0.0147     148419968.0000|  19.842   0.862   -2.928     0.074|  30.597    27.145    -0.241|     -2.749    5.498    2.500|  -0.730    -1.172    0.016|   -0.332    0.663    0.000
36.1920    0.0158     149920256.0000|  21.541   2.555   -2.013     -0.414|  30.573    27.097    -0.241|     -2.761    5.522    2.500|  -1.073    -1.609    0.013|   -0.332    0.665    0.000
36.2280    0.0136     160417040.0000|  15.458   1.028   -2.070     -0.260|  30.547    27.053    -0.242|     -2.773    5.546    2.500|  -1.284    -1.927    0.011|   -0.333    0.666    0.000
36.2600    0.0100     167006256.0000|  16.636   1.116   -2.815     0.334|  30.485    26.948    -0.243|     -2.784    5.567    2.500|  -1.089    -2.189    0.018|   -0.334    0.667    0.000
36.2960    0.0113     164421712.0000|  20.911   1.571   -2.849     0.103|  30.454    26.871    -0.243|     -2.796    5.591    2.500|  -0.921    -2.397    0.013|   -0.334    0.669    0.000
36.3320    0.0127     165387168.0000|  20.123   0.560   -2.015     -0.474|  30.413    26.769    -0.244|     -2.808    5.615    2.500|  -1.070    -2.292    0.012|   -0.335    0.670    0.000
36.3680    0.0094     158303472.0000|  20.259   0.578   -1.006     0.631|  30.386    26.711    -0.244|     -2.820    5.639    2.500|  -0.997    -2.006    0.011|   -0.336    0.672    0.000
36.4000    0.0096     152444032.0000|  23.312   2.180   -0.054     -0.517|  30.343    26.630    -0.245|     -2.830    5.661    2.500|  -1.028    -1.748    0.025|   -0.336    0.673    0.000
36.4360    0.0106     148213280.0000|  17.782   0.455   -2.648     0.074|  30.306    26.570    -0.246|     -2.843    5.685    2.500|  -1.117    -1.929    0.008|   -0.337    0.674    0.000
36.4720    0.0127     137321952.0000|  21.701   2.138   -1.975     -0.583|  30.258    26.500    -0.246|     -2.855    5.709    2.500|  -1.294    -1.682    0.012|   -0.338    0.676    0.000
36.5080    0.0102     135579456.0000|  19.787   2.431   -2.197     0.061|  30.192    26.441    -0.247|     -2.867    5.734    2.500|  -1.800    -1.480    0.013|   -0.339    0.677    0.000
36.5400    0.0102     140580912.0000|  19.624   0.898   -2.675     -0.318|  30.131    26.397    -0.247|     -2.878    5.756    2.500|  -1.628    -1.516    0.009|   -0.339    0.679    0.000
36.5760    0.0119     147722736.0000|  14.388   1.561   -2.306     -0.542|  30.087    26.365    -0.248|     -2.890    5.780    2.500|  -1.758    -1.419    0.012|   -0.340    0.680    0.000
