time   comp_time_s     min_cost|   thrust_N   p_cmd   q_cmd   r_cmd|  x_enu   y_enu   z_enu| ref_x   ref_y   ref_z|   vx_enu  vy_enu  vz_enu|    ref_vx  ref_vy ref_vz
20.1960    0.0098     34196668.0000|  15.791   0.870   2.322     0.766|  34.009    20.585    -1.172|     -0.004    0.008    2.500|  9.388    11.079    -6.609|   -0.012    0.025    0.000
20.2320    0.0104     40233956.0000|  19.903   2.100   1.666     0.757|  34.207    20.855    -1.335|     -0.004    0.009    2.500|  9.203    11.178    -6.911|   -0.013    0.026    0.000
20.2680    0.0119     35053532.0000|  17.232   2.999   0.612     0.424|  34.579    21.397    -1.642|     -0.005    0.010    2.500|  5.080    9.950    1.972|   -0.014    0.028    0.000
20.3000    0.0106     34164752.0000|  19.376   3.000   1.593     0.618|  34.677    21.640    -1.600|     -0.005    0.010    2.500|  4.989    10.063    1.510|   -0.014    0.029    0.000
20.3360    0.0106     91793912.0000|  17.998   2.659   1.229     0.658|  34.881    22.138    -1.542|     -0.006    0.012    2.500|  5.246    10.400    0.958|   -0.015    0.030    0.000
20.3720    0.0088     137303712.0000|  17.399   1.608   -0.716     0.365|  34.989    22.392    -1.518|     -0.006    0.013    2.500|  5.265    10.497    0.933|   -0.016    0.032    0.000
20.4080    0.0106     161762240.0000|  15.691   2.712   2.653     0.482|  35.165    22.817    -1.479|     -0.007    0.014    2.500|  4.948    10.533    0.749|   -0.017    0.033    0.000
20.4400    0.0106     100258584.0000|  21.940   2.640   0.535     0.923|  35.296    23.162    -1.458|     -0.007    0.015    2.500|  4.619    10.634    0.283|   -0.017    0.035    0.000
20.4760    0.0103     56785300.0000|  19.050   1.305   1.563     0.414|  35.451    23.605    -1.456|     -0.008    0.016    2.500|  4.464    10.927    -0.431|   -0.018    0.036    0.000
20.5120    0.0100     32895754.0000|  19.445   1.147   -0.286     0.435|  35.572    23.972    -1.471|     -0.009    0.018    2.500|  4.499    11.244    -0.851|   -0.019    0.037    0.000
20.5480    0.0135     22758632.0000|  17.173   2.778   0.083     0.610|  35.721    24.451    -1.504|     -0.009    0.019    2.500|  4.470    11.632    -1.152|   -0.019    0.039    0.000
20.5800    0.0239     22107386.0000|  16.864   2.863   2.290     1.000|  35.809    24.746    -1.530|     -0.010    0.020    2.500|  4.363    11.809    -1.324|   -0.020    0.040    0.000
20.6160    0.0186     29268404.0000|  24.950   2.817   1.819     0.818|  35.976    25.356    -1.598|     -0.011    0.022    2.500|  4.053    12.123    -1.803|   -0.021    0.042    0.000
20.6520    0.0092     35488380.0000|  20.906   3.000   2.884     0.766|  36.055    25.668    -1.642|     -0.012    0.023    2.500|  3.920    12.244    -2.104|   -0.022    0.043    0.000
20.6880    0.0091     53817280.0000|  23.564   2.889   1.517     0.438|  36.182    26.197    -1.731|     -0.012    0.025    2.500|  3.758    12.434    -2.652|   -0.022    0.044    0.000
20.7200    0.0154     70783880.0000|  25.800   2.134   2.944     -0.852|  36.281    26.626    -1.817|     -0.013    0.026    2.500|  3.666    12.605    -3.106|   -0.023    0.046    0.000
20.7560    0.0119     99499984.0000|  22.525   2.070   2.993     1.000|  36.399    27.173    -1.946|     -0.014    0.028    2.500|  3.532    12.917    -3.708|   -0.024    0.047    0.000
