Step 5280/8000 | Time: 105.60s | Cost: 432.24
Step 5300/8000 | Time: 106.00s | Cost: 469.22
Step 5320/8000 | Time: 106.40s | Cost: 399.49
Step 5340/8000 | Time: 106.80s | Cost: 462.35
Step 5360/8000 | Time: 107.20s | Cost: 610.68
Step 5380/8000 | Time: 107.60s | Cost: 782.84
Step 5400/8000 | Time: 108.00s | Cost: 701.55
Step 5420/8000 | Time: 108.40s | Cost: 662.32
Step 5440/8000 | Time: 108.80s | Cost: 775.23
Step 5460/8000 | Time: 109.20s | Cost: 593.78
Step 5480/8000 | Time: 109.60s | Cost: 624.97
Step 5500/8000 | Time: 110.00s | Cost: 607.01
Step 5520/8000 | Time: 110.40s | Cost: 555.80
Step 5540/8000 | Time: 110.80s | Cost: 592.75
Step 5560/8000 | Time: 111.20s | Cost: 576.93
Step 5580/8000 | Time: 111.60s | Cost: 512.13
Step 5600/8000 | Time: 112.00s | Cost: 573.80
Step 5620/8000 | Time: 112.40s | Cost: 514.20
Step 5640/8000 | Time: 112.80s | Cost: 717.88
Step 5660/8000 | Time: 113.20s | Cost: 544.76
Step 5680/8000 | Time: 113.60s | Cost: 474.11
Step 5700/8000 | Time: 114.00s | Cost: 512.84
Step 5720/8000 | Time: 114.40s | Cost: 585.24
Step 5740/8000 | Time: 114.80s | Cost: 536.25
Step 5760/8000 | Time: 115.20s | Cost: 497.65
Step 5780/8000 | Time: 115.60s | Cost: 742.17
Step 5800/8000 | Time: 116.00s | Cost: 714.29
Step 5820/8000 | Time: 116.40s | Cost: 572.53
Step 5840/8000 | Time: 116.80s | Cost: 669.30
Step 5860/8000 | Time: 117.20s | Cost: 670.74
Step 5880/8000 | Time: 117.60s | Cost: 500.29
Step 5900/8000 | Time: 118.00s | Cost: 513.05
Step 5920/8000 | Time: 118.40s | Cost: 425.12
Step 5940/8000 | Time: 118.80s | Cost: 589.19
Step 5960/8000 | Time: 119.20s | Cost: 549.43
Step 5980/8000 | Time: 119.60s | Cost: 507.80
Step 6000/8000 | Time: 120.00s | Cost: 600.85
Step 6020/8000 | Time: 120.40s | Cost: 555.44
Step 6040/8000 | Time: 120.80s | Cost: 619.16
Step 6060/8000 | Time: 121.20s | Cost: 600.51
Step 6080/8000 | Time: 121.60s | Cost: 507.27
Step 6100/8000 | Time: 122.00s | Cost: 593.58
Step 6120/8000 | Time: 122.40s | Cost: 620.93
Step 6140/8000 | Time: 122.80s | Cost: 505.81
Step 6160/8000 | Time: 123.20s | Cost: 494.35
Step 6180/8000 | Time: 123.60s | Cost: 510.67
Step 6200/8000 | Time: 124.00s | Cost: 480.02
Step 6220/8000 | Time: 124.40s | Cost: 602.86
Step 6240/8000 | Time: 124.80s | Cost: 498.00
Step 6260/8000 | Time: 125.20s | Cost: 503.31
Step 6280/8000 | Time: 125.60s | Cost: 583.45
Step 6300/8000 | Time: 126.00s | Cost: 665.90
Step 6320/8000 | Time: 126.40s | Cost: 475.51
Step 6340/8000 | Time: 126.80s | Cost: 509.75
Step 6360/8000 | Time: 127.20s | Cost: 434.57
Step 6380/8000 | Time: 127.60s | Cost: 576.39
Step 6400/8000 | Time: 128.00s | Cost: 464.10
Step 6420/8000 | Time: 128.40s | Cost: 470.46
Step 6440/8000 | Time: 128.80s | Cost: 626.12
Step 6460/8000 | Time: 129.20s | Cost: 707.22
Step 6480/8000 | Time: 129.60s | Cost: 596.36
Step 6500/8000 | Time: 130.00s | Cost: 467.39
Step 6520/8000 | Time: 130.40s | Cost: 628.59
Step 6540/8000 | Time: 130.80s | Cost: 641.97
Step 6560/8000 | Time: 131.20s | Cost: 742.94
Step 6580/8000 | Time: 131.60s | Cost: 2432.85
Step 6600/8000 | Time: 132.00s | Cost: 7723.59
Step 6620/8000 | Time: 132.40s | Cost: 14568.17
Step 6640/8000 | Time: 132.80s | Cost: 20346.54
Step 6660/8000 | Time: 133.20s | Cost: 25429.82
Step 6680/8000 | Time: 133.60s | Cost: 22358.99
Step 6700/8000 | Time: 134.00s | Cost: 19455.29
Step 6720/8000 | Time: 134.40s | Cost: 21802.98
Step 6740/8000 | Time: 134.80s | Cost: 25110.81
Step 6760/8000 | Time: 135.20s | Cost: 29163.83
Step 6780/8000 | Time: 135.60s | Cost: 33131.14
Step 6800/8000 | Time: 136.00s | Cost: 34700.89
Step 6820/8000 | Time: 136.40s | Cost: 34623.59
Step 6840/8000 | Time: 136.80s | Cost: 34120.14
Step 6860/8000 | Time: 137.20s | Cost: 33402.09
Step 6880/8000 | Time: 137.60s | Cost: 32756.51
Step 6900/8000 | Time: 138.00s | Cost: 34102.68
Step 6920/8000 | Time: 138.40s | Cost: 36156.23
Step 6940/8000 | Time: 138.80s | Cost: 36613.54
Step 6960/8000 | Time: 139.20s | Cost: 35151.42
Step 6980/8000 | Time: 139.60s | Cost: 35344.70
Step 7000/8000 | Time: 140.00s | Cost: 36097.61
Step 7020/8000 | Time: 140.40s | Cost: 35730.80
Step 7040/8000 | Time: 140.80s | Cost: 36112.55
Step 7060/8000 | Time: 141.20s | Cost: 36537.23
Step 7080/8000 | Time: 141.60s | Cost: 35848.00
Step 7100/8000 | Time: 142.00s | Cost: 34427.03
Step 7120/8000 | Time: 142.40s | Cost: 34392.23
Step 7140/8000 | Time: 142.80s | Cost: 34131.23
Step 7160/8000 | Time: 143.20s | Cost: 34346.14
Step 7180/8000 | Time: 143.60s | Cost: 33843.27
Step 7200/8000 | Time: 144.00s | Cost: 33547.52
Step 7220/8000 | Time: 144.40s | Cost: 38520.47
Step 7240/8000 | Time: 144.80s | Cost: 31005.08
Step 7260/8000 | Time: 145.20s | Cost: 15020.08
Step 7280/8000 | Time: 145.60s | Cost: 6353.84
Step 7300/8000 | Time: 146.00s | Cost: 3389.59
Step 7320/8000 | Time: 146.40s | Cost: 1904.43
Step 7340/8000 | Time: 146.80s | Cost: 1186.12
Step 7360/8000 | Time: 147.20s | Cost: 943.24
Step 7380/8000 | Time: 147.60s | Cost: 667.69
Step 7400/8000 | Time: 148.00s | Cost: 1000.02
Step 7420/8000 | Time: 148.40s | Cost: 769.73
Step 7440/8000 | Time: 148.80s | Cost: 546.32
Step 7460/8000 | Time: 149.20s | Cost: 572.98
Step 7480/8000 | Time: 149.60s | Cost: 553.95
Step 7500/8000 | Time: 150.00s | Cost: 532.22
Step 7520/8000 | Time: 150.40s | Cost: 468.27
Step 7540/8000 | Time: 150.80s | Cost: 594.24
Step 7560/8000 | Time: 151.20s | Cost: 655.56
Step 7580/8000 | Time: 151.60s | Cost: 624.84
Step 7600/8000 | Time: 152.00s | Cost: 645.31
Step 7620/8000 | Time: 152.40s | Cost: 596.94
